product_category_name_english,total_revenue,avg_review_score,total_orders
health_beauty,1263138.54,4.14,8836
watches_gifts,1206075.33,4.02,5624
bed_bath_table,1050936.61,3.90,9417
sports_leisure,993656.51,4.11,7720
computers_accessories,919640.54,3.93,6689
furniture_decor,736282.47,3.90,6449
cool_stuff,637258.51,4.15,3632
housewares,634542.60,4.06,5884
auto,594363.10,4.07,3897
garden_tools,486432.45,4.04,3518
toys,484769.90,4.16,3886
baby,412117.47,4.01,2885
perfumery,400212.94,4.16,3162
telephony,323839.40,3.95,4199
office_furniture,275224.49,3.49,1273
stationery,231300.21,4.19,2311
computers,222963.13,4.18,181
pet_shop,214591.41,4.19,1710
small_appliances,191571.48,4.15,630
musical_instruments,191523.78,4.15,628
electronics,160376.64,4.04,2550
consoles_games,158000.22,4.02,1062
fashion_bags_accessories,153656.90,4.14,1864
construction_tools_construction,145509.39,4.05,748
luggage_accessories,140429.98,4.32,1034
home_appliances_2,113585.39,4.14,234
home_construction,83207.97,3.94,490
home_appliances,83195.60,4.17,764
agro_industry_and_commerce,72530.47,4.00,182
furniture_living_room,69427.26,3.90,422
fixed_telephony,59622.99,3.68,217
home_confort,58828.74,3.83,397
air_conditioning,55024.96,3.97,253
audio,50738.40,3.83,350
small_appliances_home_oven_and_coffee,47445.71,4.30,75
books_general_interest,46856.88,4.45,512
kitchen_dining_laundry_garden_furniture,46457.37,3.96,248
construction_tools_lights,41308.00,4.05,244
construction_tools_safety,40544.52,3.84,167
industry_commerce_and_business,39745.61,4.10,235
food,29393.41,4.22,450
market_place,28378.47,4.02,280
costruction_tools_garden,25769.74,4.05,194
art,24202.64,3.94,202
fashion_shoes,23767.47,4.23,240
drinks,22505.90,4.05,297
signaling_and_security,21509.23,4.09,140
furniture_bedroom,20278.78,4.12,95
books_technical,19149.03,4.37,260
costruction_tools_tools,15903.95,4.44,97
food_drink,15270.47,4.32,227
fashion_male_clothing,10797.82,3.64,112
fashion_underwear_beach,9541.55,3.98,121
christmas_supplies,8800.82,4.02,128
tablets_printing_image,7528.41,4.12,79
cine_photo,6949.36,4.21,65
music,6034.35,4.21,38
dvds_blu_ray,5999.39,4.08,59
books_imported,4639.85,4.40,53
party_supplies,4485.18,3.77,39
furniture_mattress_and_upholstery,4368.08,3.82,38
kitchen_and_food_preparators_portables,3968.53,3.27,14
fashio_female_clothing,2889.44,3.78,39
fashion_sport,2144.50,4.26,27
la_cuisine,2054.99,4.00,13
arts_and_craftmanship,1814.01,4.13,23
diapers_and_hygiene,1567.59,3.26,27
pc_gamer,1545.95,3.33,8
flowers,1110.04,4.42,29
home_comfort_2,760.27,3.63,24
cds_dvds_musicals,730.00,4.64,12
fashion_childrens_clothes,569.85,4.50,8
security_and_services,283.29,2.50,2
