cohort_month,initial_customers,month_number,active_customers,retention_rate
2016-09-01 00:00:00,1,0,1,1.0000
2016-10-01 00:00:00,262,0,262,1.0000
2016-10-01 00:00:00,262,6,1,0.0038
2016-10-01 00:00:00,262,9,1,0.0038
2016-10-01 00:00:00,262,11,1,0.0038
2016-10-01 00:00:00,262,13,1,0.0038
2016-10-01 00:00:00,262,15,1,0.0038
2016-10-01 00:00:00,262,17,1,0.0038
2016-10-01 00:00:00,262,19,2,0.0076
2016-10-01 00:00:00,262,20,2,0.0076
2016-12-01 00:00:00,1,0,1,1.0000
2016-12-01 00:00:00,1,1,1,1.0000
2017-01-01 00:00:00,717,0,717,1.0000
2017-01-01 00:00:00,717,1,2,0.0028
2017-01-01 00:00:00,717,2,2,0.0028
2017-01-01 00:00:00,717,3,1,0.0014
2017-01-01 00:00:00,717,4,3,0.0042
2017-01-01 00:00:00,717,5,1,0.0014
2017-01-01 00:00:00,717,6,3,0.0042
2017-01-01 00:00:00,717,7,1,0.0014
2017-01-01 00:00:00,717,8,1,0.0014
2017-01-01 00:00:00,717,10,3,0.0042
2017-01-01 00:00:00,717,11,1,0.0014
2017-01-01 00:00:00,717,12,5,0.0070
2017-01-01 00:00:00,717,13,3,0.0042
2017-01-01 00:00:00,717,14,1,0.0014
2017-01-01 00:00:00,717,15,1,0.0014
2017-01-01 00:00:00,717,16,2,0.0028
2017-01-01 00:00:00,717,17,3,0.0042
2017-01-01 00:00:00,717,19,1,0.0014
2017-02-01 00:00:00,1628,0,1628,1.0000
2017-02-01 00:00:00,1628,1,3,0.0018
2017-02-01 00:00:00,1628,2,5,0.0031
2017-02-01 00:00:00,1628,3,2,0.0012
2017-02-01 00:00:00,1628,4,7,0.0043
2017-02-01 00:00:00,1628,5,2,0.0012
2017-02-01 00:00:00,1628,6,4,0.0025
2017-02-01 00:00:00,1628,7,3,0.0018
2017-02-01 00:00:00,1628,8,2,0.0012
2017-02-01 00:00:00,1628,9,3,0.0018
2017-02-01 00:00:00,1628,10,2,0.0012
2017-02-01 00:00:00,1628,11,5,0.0031
2017-02-01 00:00:00,1628,12,2,0.0012
2017-02-01 00:00:00,1628,13,3,0.0018
